coding,dimension,factor_subset,formula,metric,order,signed_nested_contrast
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,2,-0.3119622551570769
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,2,-0.4690291668916924
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,2,-0.0225
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,2,-0.005230893625848908
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,2,0.03749999999999999
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,2,0.04300000000000001
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,0.022999999999999996
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,0.02512499999999999
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,0.0145
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,0.022250000000000013
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,2,-30.639372339419
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,2,-0.0031878901719763113
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,2,-0.7685652406585488
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,2,1.228679004996916
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,2,0.7206818398695161
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,2,42.82878578493337
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,2,0.04750000000000001
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}, ""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent:activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,2,0.02842809132857039
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,muscle_extent:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,2,0.031499999999999986
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,muscle_extent:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,2,0.03425
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,muscle_extent:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,0.017249999999999998
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,muscle_extent:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,0.019124999999999993
