triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
7857,12327,12659,12499,5.1273010453054504e-07,-0.25012651294775368,Extra_Funnel,0.65181815228482654,MouthOpenMax
7858,12332,397237,484287,1.6499148582359967e-06,-0.30985303597012392,Extra_Funnel,0.48474146092801518,Scream
7859,12332,12846,197158,1.6131247872639375e-06,-0.38096878707034865,Extra_Funnel,0.40085870043509408,Scream
7860,12332,484287,12846,2.2951096772979194e-06,-0.39414968669752337,Extra_Funnel,0.42729203806389449,Scream
7861,12334,12556,12932,2.2448215615055892e-06,-0.11134933074255282,LipsRight,0.17436806189048126,MouthOpenMax
7862,12343,12781,12860,6.3969978756773089e-07,-0.68561825557870737,Compressed,0.92687856772525024,BrowUpLeft
7863,12343,12860,12400,7.8441612244693058e-07,-0.60113846370599444,Compressed,1.4355578884977329,BrowUpLeft
7864,12361,12810,12739,4.0648602301574688e-07,-0.50894106271989759,Compressed,0.1272856101547486,EyesUpMax
7865,12361,12431,12810,6.215410758570574e-07,-0.52153840966228526,Compressed,0.1806258011543358,EyesUpMax
7866,12363,12871,51110,1.3972803711313886e-06,-0.23634921269949372,LipsLeft,0.17970826511439597,LipsPressed
7867,12363,156486,12794,1.7073155825238544e-06,-0.25544100632550371,LipsDisgust,0.24165107872577885,LipsPressed
7868,12363,526952,12871,1.547238416662968e-06,-0.28966960442049461,LipsDisgust,0.18905746957645708,LipsPressed
7869,12363,12794,526952,1.2688580538902785e-06,-0.24957748615950792,LipsDisgust,0.20777048393844311,LipsPressed
7870,12367,51110,12871,1.2477975881328021e-06,-0.32953349472425186,LipsLeft,0.097943498226412684,LipsPressed
7871,12367,12871,517649,1.3047604947132655e-06,-0.36189533734778279,LipsDisgust,0.078356015075127239,LipsPressed
7872,12367,517649,12722,1.2838703007736536e-06,-0.34027346072089604,MouthOpenMax,0.093430732092292912,BrowDownLeft
7873,12369,12711,12513,3.8001928087431018e-07,-0.44998257364774941,LowerLipBack,1.0279835908443671,Extra_Funnel
7874,12371,347870,522366,1.6139648034479682e-06,-0.31024629637707557,Compressed,0.17269057273042931,BrowUpLeft
7875,12371,502473,128149,1.0815102052203935e-06,-0.32127719632438922,Compressed,0.16996533939872216,BrowUpLeft
7876,12371,176541,502473,1.0802564576735006e-06,-0.27545582426510673,BrowDownLeft,0.12933147093211339,BrowUpLeft
7877,12371,345548,300315,2.2496018511412233e-06,-0.25208881508306835,BrowDownLeft,0.16864016815446692,BrowUpLeft
7878,12371,300315,176541,1.2696665059521769e-06,-0.25049519241166263,BrowDownLeft,0.16432290693776186,BrowUpLeft
7879,12371,128149,347870,1.0375611843028192e-06,-0.30520517821183213,Compressed,0.1617330463963893,EyesRight
7880,12371,522366,345548,1.818280398763715e-06,-0.24982777921394816,BrowDownLeft,0.16078236048808026,BrowUpLeft
7881,12385,390511,220946,2.084645539597877e-06,-0.24937743383571676,BrowUpLeft,0.060682008899454187,Scream
7882,12385,220946,324867,2.1051627931337188e-06,-0.28584667266295161,BrowUpLeft,0.049133333890897912,Compressed
7883,12385,324867,161788,1.8731118973222261e-06,-0.28534316689679451,BrowUpLeft,0.050992882693635,Compressed
7884,12385,161788,392810,1.669284352667895e-06,-0.30044305136325844,BrowUpLeft,0.034432955525398601,Scream
7885,12385,87077,341264,1.2066584319967726e-06,-0.24577153630409454,BrowUpLeft,0.053105246451507604,Scream
7886,12385,392810,87077,1.3007412494131129e-06,-0.31061808373403499,BrowUpLeft,0.022892340628156926,BrowDownRight
7887,12385,341264,238041,2.0875778497975909e-06,-0.23909026575519765,BrowUpLeft,0.043706798510479095,Scream
7888,12385,238041,390511,2.0744598352593203e-06,-0.22403086993012011,BrowUpLeft,0.044622180584339421,Scream
7889,12386,12541,12751,8.4809448957419569e-07,-0.37289455490501056,LowerLipFront,0.68334315916713817,MouthOpenMax
7890,12386,12751,12542,8.4671906544711227e-07,-0.35970323890185385,LowerLipFront,0.82425982835243738,Extra_Funnel
7891,12386,12542,12411,8.6840931877722191e-07,-0.38088045166943663,LowerLipFront,0.83520466102651314,MouthOpenMax
7892,12388,214874,12527,1.4978681023828244e-06,-0.24405385465856555,Compressed,0.083300057021496787,LipsRight
7893,12388,12527,13053,2.412430742519218e-06,-0.24620949661101843,LipsDisgust,0.078983198225505369,LipsPressed
7894,12388,13053,12919,2.8567115637653186e-06,-0.25759928383825348,EyeScrewedUpLeft,0.092624525364905619,LipsRight
7895,12397,12499,12717,5.4772733919631749e-07,-0.18087856073720943,LipsRight,0.66992574750044032,MouthOpenMax
7896,12397,12717,12579,4.3885180536988788e-07,-0.18195322061201402,Extra_Funnel,0.70571026679570181,Scream
7897,12400,12992,12522,1.0727252542374369e-06,-0.60364636200391697,Compressed,1.2326255711106104,BrowUpLeft
7898,12400,12860,12992,1.2019894775332855e-06,-0.66233246849739369,Compressed,1.132439729477166,BrowUpLeft
7899,12408,287242,163449,1.7787100613188575e-06,-0.024053610914727686,EyesUp,0.16018120292872462,Compressed
7900,12408,163449,297404,2.4002939613331852e-06,-0.024350757639405085,EyesUp,0.16178878369740968,Compressed
7901,12408,415094,287242,1.6424673348618076e-06,-0.028609937803500296,EyesUp,0.15402358861304477,Compressed
7902,12408,425269,124304,1.0188995833312877e-06,-0.024855104390067218,EyesUp,0.1625893532679954,Compressed
7903,12408,124304,436058,9.9832494228666802e-07,-0.02899921755603041,EyesUp,0.1551638607325887,Compressed
7904,12408,297404,425269,1.7647714306571959e-06,-0.02512722234524345,EyesUp,0.16234484055697962,Compressed
7905,12408,436058,283936,2.2550137827651522e-06,-0.013011802139850315,EyesUp,0.16355270476388428,Compressed
7906,12408,283936,415094,1.9665158698973823e-06,-0.026116380539427775,EyesUp,0.17553743129657029,Compressed
7907,12409,13054,12911,1.2846933411537442e-06,-0.52466615895795665,Compressed,0.066897276465330169,LipsRight
7908,12409,12516,13054,1.388666551714791e-06,-0.48030185579692508,Compressed,0.10674158115160814,EyeClosedBrowUpLeft
7909,12411,12542,12882,6.3113372073898872e-07,-0.36077358195216247,LowerLipFront,0.71605194788251958,Extra_Funnel
7910,12411,12882,12836,8.2003478273748845e-07,-0.40300791419783444,LowerLipFront,0.58154761276083855,MouthOpenMax
7911,12419,230649,234851,9.147410706771811e-09,-0.58356956133328297,JawLeft,1.5416477214676343,Extra_Funnel
7912,12422,12563,12851,1.365578208860608e-06,-0.16861290765927817,Extra_Funnel,0.45073464234918781,MouthOpenMax
7913,12431,12906,12810,5.2686830440677666e-07,-0.51338813864798161,Compressed,0.15202757582364446,EyesUpMax
7914,12431,12520,12906,6.0154662450587096e-07,-0.51223373966469254,Compressed,0.13549008644281169,EyesUpMax
7915,12442,505967,165904,1.5113180988480325e-06,-0.0665707414784934,LipsFunnel,0.24643138431531098,LowerLipBack
7916,12442,12656,505967,1.8525244215378153e-06,-0.10259221677240749,LipsRight,0.23442285133073604,LowerLipBack
7917,12447,12775,12594,8.1077656278982215e-07,-0.15323726222001044,LipsFunnel,0.32397190559061051,Scream
7918,12450,12579,12863,6.1700823483287097e-07,-0.1926592775804512,LipsRight,0.79449335608325522,Scream
7919,12450,12863,12712,8.2433064076747936e-07,-0.23500150634429096,LowerLipFront,0.70872772694425801,Scream
7920,12454,383732,370421,1.3272835679623095e-06,-0.47473935036366866,Compressed,0.15540826724834522,BrowUpLeft
7921,12454,446895,383732,1.5845691512815917e-06,-0.52451453941926407,Compressed,0.23397469335755905,BrowUpLeft
