resolution,index,singular_value
100x10,133,1.2534364603411221e-19
100x10,134,1.1970107679025662e-19
100x10,135,1.154429066642913e-19
100x10,136,1.0959569959756545e-19
100x10,137,1.0757284014178525e-19
100x10,138,9.99103824862677e-20
100x10,139,9.583497999950422e-20
100x10,140,9.185574190362388e-20
100x10,141,9.055326231715231e-20
100x10,142,8.352157731404063e-20
100x10,143,8.167690403285374e-20
100x10,144,7.776073830486878e-20
100x10,145,6.910507356626251e-20
100x10,146,6.873999243181886e-20
100x10,147,6.78972464737282e-20
100x10,148,6.059665043221516e-20
100x10,149,5.960040609201209e-20
100x10,150,5.661804102996634e-20
100x10,151,5.4159295754984153e-20
100x10,152,5.0231950262094004e-20
100x10,153,4.80664049689656e-20
100x10,154,4.593939653738381e-20
100x10,155,4.530446417179343e-20
100x10,156,4.375877302960527e-20
100x10,157,4.263299114677301e-20
100x10,158,4.059527749053591e-20
100x10,159,3.811212629997209e-20
100x10,160,3.6768089699200305e-20
100x10,161,3.3052402453297837e-20
100x10,162,3.203248659337431e-20
100x10,163,3.1639144623946237e-20
100x10,164,2.985264314602823e-20
100x10,165,2.7646076868803904e-20
100x10,166,2.685460442726667e-20
100x10,167,2.4450188626526472e-20
100x10,168,2.355017588040024e-20
100x10,169,2.23008175241913e-20
100x10,170,2.064770982264599e-20
100x10,171,1.8992163764152326e-20
100x10,172,1.728947579269601e-20
100x10,173,1.6791173584501423e-20
100x10,174,1.634678056516482e-20
100x10,175,1.3650841364833248e-20
100x10,176,1.3219005547817195e-20
100x10,177,1.1966048999047001e-20
100x10,178,1.0777633675075844e-20
100x10,179,1.0152540803468946e-20
100x10,180,9.692852672202847e-21
100x10,181,8.681775304670518e-21
100x10,182,7.327529029165332e-21
100x10,183,6.805902306715228e-21
100x10,184,6.563049793587879e-21
100x10,185,6.297151684555191e-21
100x10,186,5.628103499973986e-21
100x10,187,3.999098646138177e-21
100x10,188,3.6285556144836395e-21
100x10,189,3.100517531131266e-21
100x10,190,2.5089493231016962e-21
100x10,191,1.89693050352207e-21
200x20,0,0.022072532101554437
200x20,1,0.01971241069008023
200x20,2,0.017015633250119285
200x20,3,0.01141567960818632
200x20,4,0.010663172448153495
200x20,5,0.008126259557620957
200x20,6,0.007188568772037416
200x20,7,0.006308099718222837
200x20,8,0.0051424187700421665
200x20,9,0.004478260855600712
200x20,10,0.004409115831717531
200x20,11,0.0036142796554296565
200x20,12,0.003384842367166821
200x20,13,0.003185625720211914
200x20,14,0.0028964722661532286
200x20,15,0.0027033591583592036
200x20,16,0.002429108631194999
200x20,17,0.0023467131989856594
200x20,18,0.0021513843151891544
200x20,19,0.001962448047648207
200x20,20,0.0017818913535192424
200x20,21,0.0016704617496602456
200x20,22,0.0015936267081692902
200x20,23,0.0015459451468268965
200x20,24,0.0014841337612648974
200x20,25,0.001424745180492914
200x20,26,0.0013453861326836278
200x20,27,0.0013053801617980102
200x20,28,0.00125160936759717
200x20,29,0.0012102468732022732
200x20,30,0.0011742607162538211
200x20,31,0.0011562065388347606
200x20,32,0.0011430880912431133
200x20,33,0.001129714051284868
200x20,34,0.0011111032284943931
200x20,35,0.001091591056154624
200x20,36,0.001072777439842029
200x20,37,0.00105903841809866
200x20,38,0.0010513065318246931
200x20,39,0.0008524042164955949
200x20,40,0.0006392030775240386
200x20,41,0.0005396918131719638
200x20,42,0.000450531321967054
200x20,43,0.0003836518749092357
200x20,44,0.0003208756498067733
200x20,45,0.0002714504855176664
200x20,46,0.00023069269728576342
200x20,47,0.0002069655254435277
200x20,48,0.0001816526620983115
200x20,49,0.00016604526853695174
200x20,50,0.000161273097483441
200x20,51,0.00015745623420814552
200x20,52,0.00014981475575799485
200x20,53,0.00014073530892851047
200x20,54,0.00013144950138167967
200x20,55,0.0001269440300289401
200x20,56,0.00012355159439176948
200x20,57,0.00011987117482610917
200x20,58,0.00011439110231245145
200x20,59,0.00010851572962468997
200x20,60,0.00010425519950486458
200x20,61,0.00010179584982040034
200x20,62,9.935079741132126e-05
200x20,63,9.600027850956631e-05
200x20,64,9.271637765021152e-05
200x20,65,9.0409863361163e-05
200x20,66,8.861219187591609e-05
200x20,67,8.748202635328745e-05
200x20,68,8.711256006099536e-05
200x20,69,8.708381092139037e-05
200x20,70,7.171794547620863e-05
200x20,71,5.948011901030715e-05
200x20,72,4.701540273287932e-05
200x20,73,2.576541561807537e-05
