cycles_per_unit_length,global_best_50x5-free_power,global_best_100x10-free_power,global_best_200x20-free_power,global_best_50x5-regularized_power,global_best_100x10-regularized_power,global_best_200x20-regularized_power,global_best_50x5-tied_power,global_best_100x10-tied_power,global_best_200x20-tied_power,admissible_prefix_50x5-free_power,admissible_prefix_100x10-free_power,admissible_prefix_200x20-free_power,admissible_prefix_50x5-regularized_power,admissible_prefix_100x10-regularized_power,admissible_prefix_200x20-regularized_power,admissible_prefix_50x5-tied_power,admissible_prefix_100x10-tied_power,admissible_prefix_200x20-tied_power
10.41124414367516,2.224905676998819e-06,2.6784016889183788e-06,9.110086778734068e-07,1.357490842607124e-06,1.9695638154759087e-06,5.987805232936392e-07,2.224905676998819e-06,1.1475275193761396e-06,1.9209393220160485e-06,2.0719264721836325e-07,2.711961755291108e-06,8.794209047260829e-07,9.94574967049991e-08,4.4503688175855526e-07,2.082742495745833e-07,2.0719264721836325e-07,1.5850417439612905e-06,8.507253895112899e-07
11.452368558042677,5.502321115088879e-07,1.2414949200475085e-06,6.040789258581108e-07,7.24244427093998e-07,7.667710168153285e-07,1.0773143778222782e-07,5.502321115088879e-07,8.814407338093267e-08,1.1189575021573082e-06,1.214726637431629e-07,1.54448070999785e-06,5.027544423511857e-07,9.978742373397944e-08,1.0740013462577971e-07,4.7919472995139284e-08,1.214726637431629e-07,8.235747699889969e-07,5.094839014410238e-07
12.493492972410191,3.686899370847432e-07,4.780873328106331e-07,3.2203873811666277e-07,3.3770225053373364e-07,2.6229699804313545e-07,2.3465531679186406e-08,3.686899370847432e-07,8.678237023919203e-08,4.5780215969255625e-07,3.9476428125160645e-08,7.324759378530539e-07,2.155132808015194e-07,1.0346605311329656e-07,2.671499730575405e-08,2.646522955748668e-08,3.9476428125160645e-08,4.4241914788366277e-07,2.250909007075952e-07
13.534617386777708,5.530760690127766e-07,1.6671637802414588e-07,1.222090220289027e-07,1.966438058582175e-07,1.0304673352826644e-07,2.4028683793424735e-09,5.530760690127766e-07,3.7038494039104365e-07,1.1407548688083652e-07,3.791037662628977e-08,2.9556318422186555e-07,5.971572035169997e-08,1.0419101437486544e-07,1.5310615283500664e-08,2.975761869486121e-08,3.791037662628977e-08,2.4013461296293736e-07,6.895962110485281e-08
14.575741801145224,5.32386480159377e-07,7.052416927619448e-08,8.206598285040933e-08,1.9608303699042254e-07,5.612179373617298e-08,5.56372149923741e-08,5.32386480159377e-07,5.687567344566711e-07,1.6693794042970393e-08,8.355466695775715e-08,1.0494120117387155e-07,2.2159217528923295e-08,8.245261732480387e-08,1.4592106675938504e-08,1.9006518235586463e-08,8.355466695775715e-08,1.296555677765351e-07,1.1745727505797843e-08
15.61686621551274,4.3009628543390575e-07,6.176496699212299e-08,1.2084697046047876e-07,2.4478117780608757e-07,2.3423891893508845e-08,1.5111517517733075e-07,4.3009628543390575e-07,6.022487620950567e-07,2.4633891217946884e-08,1.0474596992785524e-07,3.616721959300422e-08,3.4135588387060615e-08,4.2205808239047004e-08,3.862477667873664e-09,5.940663637511053e-09,1.0474596992785524e-07,7.788812015248427e-08,2.490989846560249e-09
16.657990629880256,4.884322094818038e-07,8.947373962903785e-08,1.1802033581272486e-07,2.870435681742853e-07,1.725335048604156e-09,1.960967245284779e-07,4.884322094818038e-07,4.531312347488186e-07,4.68010223746636e-08,8.558789885890951e-08,1.9229635946764575e-08,3.579366329203619e-08,1.1306362526473141e-08,2.09028005275857e-08,8.79464790152993e-09,8.558789885890951e-08,6.382126727834735e-08,1.0125476334078022e-08
17.699115044247772,6.560032179060865e-07,1.1577085027035776e-07,5.850834485980782e-08,2.9923985581667166e-07,6.626841496657772e-09,1.7891338903676506e-07,6.560032179060865e-07,2.229941448894029e-07,4.83998171713918e-08,5.649829884124472e-08,1.613667119726253e-08,1.7376667544095555e-08,7.439177781326616e-09,7.807173185070696e-08,2.474529486104402e-08,5.649829884124472e-08,6.635938297571028e-08,1.781300841155927e-08
18.74023945861529,6.986553100058436e-07,1.1424213807479134e-07,1.4506755706373993e-08,2.87761346221047e-07,2.1854251523710878e-08,1.436021744420428e-07,6.986553100058436e-07,1.0510430336574654e-07,2.7304468799801422e-08,3.7617330363075344e-08,8.417301243142259e-09,1.4157160969804278e-09,2.0927846481016923e-08,1.1232448433742868e-07,3.452721617097073e-08,3.7617330363075344e-08,6.533750112741001e-08,1.5784455048285388e-08
19.781363872982805,5.18862007943498e-07,9.84604336978809e-08,4.023892348100404e-08,2.743688810097879e-07,2.1170698181181116e-08,1.0552201218721669e-07,5.18862007943498e-07,1.4729142991451676e-07,4.05384065937762e-09,2.5108897464433423e-08,5.6015868791680925e-09,6.71991033066347e-09,3.1861104788867e-08,8.01831612364178e-08,2.8624745360852815e-08,2.5108897464433423e-08,5.6329663793279744e-08,6.176367013469303e-09
