step,phase,objective,gradient_inf,gradient_rms,equilibrium_residual_rms,forward_iterations,min_det_f,min_det_ainv,min_det_g,inverted_rest_measure_fraction,ainv_negative_rest_measure_fraction,g_negative_rest_measure_fraction,double_inverted_rest_measure_fraction,activation_sha256,displacement_sha256
48,inverse_bfgs,0.010043806396672387,0.009799699908062353,0.007124262207438922,7.528891335536679e-11,1,-0.13486258751710722,0.08849666909257901,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,8a63e97869fc9532f0cb0cb072b2d5d3fcae0d2dab285f24fcf97c151320cd8e,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
49,inverse_bfgs,0.010043806396672387,0.009799699907390933,0.007124262207064347,7.528891627039089e-11,1,-0.13486258751710722,0.08849666909381718,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,7212f936919b48cfcd44d63e6c6ba5929801ca896dc9add6f2bc0ec9700ccd74,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
50,inverse_bfgs,0.010043806396672387,0.009799699906740792,0.00712426220670382,7.528891941807266e-11,1,-0.13486258751710722,0.08849666909505459,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,c2038dfb3796e8dace1987183f03f1b6251809a80cf10011d577bb84d53dafa8,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
51,inverse_bfgs,0.010043806396672387,0.009799699906060413,0.007124262206321584,7.528892283152653e-11,1,-0.13486258751710722,0.08849666909630309,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,f017162ce65551c49b6f9f5f98f30719eca8c723737353594116a76f1d3e56a3,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
52,inverse_bfgs,0.010043806396672387,0.009799699905401053,0.0071242622059533,7.528892648030583e-11,1,-0.13486258751710722,0.08849666909755056,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,7a7cd5b747359087cb369c8ba43b1ec21d243c801ed57ef9158578fb59d66ebd,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
53,inverse_bfgs,0.010043806396672387,0.00979969990472765,0.00712426220557489,7.5288930394608e-11,1,-0.13486258751710722,0.08849666909880637,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,464e3a7c588e5c5ac7c652523aa06596a5da5615316966b9a28c6e0079ac0d92,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
54,inverse_bfgs,0.010043806396672387,0.009799699904053593,0.007124262205194715,7.528893454350075e-11,1,-0.13486258751710722,0.08849666910006021,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,37028a28beb393b95fcc64388fa947c5a4bca628a612d953d05d7345ec950f84,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
55,inverse_bfgs,0.010043806396672387,0.00979969990337994,0.007124262204814147,7.528893894698808e-11,1,-0.13486258751710722,0.08849666910131786,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,ea7b32089056c47d5b8e4c89d717d8d101e485ff25ad554019ed91d495fc09f9,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
56,inverse_bfgs,0.010043806396672387,0.009799699902704283,0.007124262204431745,7.5288943604637e-11,1,-0.13486258751710722,0.08849666910257876,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,ff7dd69e5a629f8508719d58d74961c12ce6aa6e1caaf40b341ba1afc7bd52b4,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
57,inverse_bfgs,0.010043806396672387,0.009799699902033289,0.007124262204052209,7.528894852916326e-11,1,-0.13486258751710722,0.08849666910384558,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,c5a62d3f0291c4d4b936e9254b81b162b484ed4683b5866d4cbf3e710d0a6e0a,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
58,inverse_bfgs,0.010043806396672387,0.00979969990135455,0.007124262203666812,7.52889537020513e-11,1,-0.13486258751710722,0.08849666910511302,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,00bfe8e040c1884fa5deea0f74802af80f8cdb43187b6e10df0702d2dba2c5db,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
59,inverse_bfgs,0.010043806396672387,0.009799699900679812,0.007124262203283356,7.528895911922894e-11,1,-0.13486258751710722,0.08849666910638018,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,7450f3f322568e055eacee92fa8d1f09ab9e738ff20dd477ddf848f5c61157a3,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
60,inverse_bfgs,0.010043806396672387,0.009799699899999981,0.007124262202895431,7.528896481266562e-11,1,-0.13486258751710722,0.08849666910765407,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,c55e5b1ebb8547c58c829cdd27f8053262d6a7d229db9310a8cf5780b6bb52e7,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
61,inverse_bfgs,0.010043806396672387,0.009799699899327843,0.007124262202513147,7.528897075766557e-11,1,-0.13486258751710722,0.0884966691089285,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,541d5d01ccbf2573f7609ed3bc36d23a93513bd9278a45fbe7ca5e2ab8f52eeb,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
62,inverse_bfgs,0.010043806396672387,0.009799699898654255,0.007124262202128834,7.528897698496549e-11,1,-0.13486258751710722,0.08849666911020977,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,93482b45049185c2fb88cfec3cde7dab7239ac745b8cd2c38913dd9c3598496f,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
63,inverse_bfgs,0.010043806396672387,0.009799699897974913,0.007124262201740033,7.528898347706444e-11,1,-0.13486258751710722,0.08849666911149356,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,d7210592f7af7c263b4eae7a2c64988a4cdcf730472df0d378eb60ead536293b,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
64,inverse_bfgs,0.010043806396672387,0.009799699897278363,0.007124262201339018,7.528899022622233e-11,1,-0.13486258751710722,0.08849666911277829,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,308519219c634f8f0316f786c5bbd9f8d32bce3c90dc9d22e30ec51ce1e585c2,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
65,inverse_bfgs,0.010043806396672387,0.009799699896607846,0.00712426220095486,7.528899720106833e-11,1,-0.13486258751710722,0.08849666911405811,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,8797b397a4b8dedf4ae0335ba8986f615bae0dd5fb4c5acfb4d1ffbaaa607190,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
66,inverse_bfgs,0.010043806396672387,0.009799699895923995,0.007124262200562335,7.528900448335522e-11,1,-0.13486258751710722,0.08849666911534775,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,1c3ed6f0d8c4695704a63f7e4e625159e4eaad01a000193bc7b360e9f455711e,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
