case,display_name,cohort,material_model,step,target/error_rms_fraction_of_target,target/error_rms_mm,target/face_rest_area_weighted_error_fraction,target/face_target_area_weighted_error_fraction,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,bumpiness/displacement_laplacian_rms_m,seam/boundary_band_to_interior_residual_ratio,seam/boundary_band_to_interior_normal_laplacian_ratio,activation/rms,activation/max_abs,activation/I_plus_Ainv_min_eigenvalue,activation/I_plus_Ainv_min_determinant,activation/I_plus_Ainv_max_condition_number,cut_boundary/policy,cut_boundary/displacement_rms_m,cut_boundary/displacement_max_abs_m,cut_boundary/displacement_exact_zero,warning/I_plus_Ainv_non_spd_active_tets,warning/inverted_tets,warning/detF_min,warning/isface_folded_triangles
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,30,0.5673087286831523,3.012488240564039,0.5743208933427584,0.5759713929006666,11.816925082224838,0.00021475027532168785,0.00016316877443773653,0.6901343592518054,1.9036146931443307,0.05278991857895599,1.8177114197930362,0.028049968380201875,0.01597581139320563,37.146459718534594,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,32,-1.346261865350221,19
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,31,0.5626561475913304,2.987782387967839,0.5695758325149818,0.5711588177498349,11.978514276184645,0.00021504197074277893,0.00016517985994332724,0.6889279445272972,1.883304156877663,0.053719557198944945,1.8410467264060577,-0.007661118752896561,-0.006952735595623889,136.23076851612763,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,1,32,-1.3340613667691132,18
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,32,0.555307477737877,2.948759929123071,0.5617865021799845,0.5634762498207463,12.15044953983517,0.00021542279142217785,0.00016721050014789144,0.6924344913532487,1.8701339406376332,0.05462155789736357,1.8631147575309182,-0.027489064210064033,-0.024770991951908673,37.919364784431764,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,1,32,-1.3159312294397196,18
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,33,0.5489850751229985,2.9151870920302185,0.554974145103966,0.5567644770728337,12.298121924094827,0.00021501830733116026,0.0001688591652599898,0.694952291122174,1.861431964207271,0.055497100529906036,1.8840204057995644,-0.029017491882700322,-0.025812159310206164,35.74695124266033,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,1,34,-1.2992121663598237,20
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,34,0.5418791247176007,2.8774535072077505,0.547574472101368,0.5494980844736039,12.47702485257142,0.00021508564512659356,0.00017051364330002562,0.6964421656048436,1.8385862756247302,0.05634714877515343,1.9039120707262283,-0.011905128275331257,-0.010385475861071657,86.37868726098742,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,1,33,-1.2833273377836614,19
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,35,0.5352093755887947,2.8420362118231375,0.540661563898188,0.542730318259184,12.653022893069343,0.00021521432741386078,0.000172188325133626,0.6973339641751845,1.8204488548284663,0.057173591857723256,1.922753371211928,0.021331532576466066,0.018157747689710516,47.65040201908443,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,39,-1.3076154728216325,19
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,36,0.5304547349988606,2.816788409099333,0.535859327535354,0.5378830141669018,12.778746809256907,0.00021526960194713287,0.00017337798861835835,0.6994097419923232,1.8052588969490866,0.05797631980246186,1.9406408319237636,0.05106630148713245,0.02505751401888992,18.58860364768706,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,43,-1.3090149436864302,19
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,37,0.5243495172726912,2.7843688539677554,0.5293546419898246,0.531445054666344,12.93807738994855,0.00021538007878815784,0.0001748376249982416,0.7033105409516572,1.7906998078556877,0.05875575251702552,1.9576261873749923,0.04974399658655611,0.024468539501228265,16.648313377000548,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,43,-1.3096044559188196,19
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,38,0.5204045962381303,2.7634207746844455,0.5254635597073944,0.5275326511590732,13.051689511493699,0.00021528655973720176,0.00017597251212283623,0.7040282648169451,1.7720179546139851,0.05951144850387133,1.9737592361351552,0.054965062542932326,0.02703034163496867,17.40898599496832,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,44,-1.3043083991988484,22
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,39,0.51620153113688,2.7411019145089077,0.5193681729763143,0.5215472445623528,13.208780958862748,0.00021617831643027085,0.00017695391776320418,0.7207483532292277,1.7310283683438952,0.060245386616716336,1.9891376562257417,0.053874769099734696,0.024730218893272357,19.810271122311036,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,45,-1.2921660910841821,23
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,40,0.5124062087322062,2.7209482247538275,0.5147694355151133,0.5173233742196744,13.328980970609415,0.0002170610984016332,0.00017840176955617547,0.7243546047321455,1.7362623267315407,0.06095803933140022,2.0037860355450605,0.016778285466576864,0.009108174239870813,47.46478661025615,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,47,-1.2139762125178772,25
old-e100-p000,old-boundary full skin + 3D lambda control,old-boundary-secondary-historical-diagnostic,"full extracted boundary, historical 3D lambda in Koiter; historical IsFixed boundary",0,1.0,5.310139062299789,1.0,1.0,2.8909047384237616,0.0002428382659609722,3.403262694925427e-21,0.7760198153422891,3.45610405728017,0.0,0.0,1.0,1.0,1.0,historical IsFixed; old-boundary control only,1.9475597754971606e-21,1.2212175248020565e-20,False,0,0,1.0,0
old-e100-p000,old-boundary full skin + 3D lambda control,old-boundary-secondary-historical-diagnostic,"full extracted boundary, historical 3D lambda in Koiter; historical IsFixed boundary",1,0.9800153803610185,5.20401795290963,0.9803175249099162,0.9803321126867651,2.8889156917577554,0.00023959352086950215,9.527626644781115e-06,0.7735486902113933,3.4519565702215522,0.0024925437627035117,0.058261648749576574,0.9440200174473589,0.8573664847980838,1.0621433772374131,historical IsFixed; old-boundary control only,5.357109806652862e-05,0.00018398627382993564,False,0,0,0.869387931563541,0
old-e100-p000,old-boundary full skin + 3D lambda control,old-boundary-secondary-historical-diagnostic,"full extracted boundary, historical 3D lambda in Koiter; historical IsFixed boundary",2,0.9597143087381688,5.09621643947859,0.9605643529827792,0.9605283511092538,2.949449536886098,0.00023669069175927948,1.8650771827992763e-05,0.7699486849247322,3.4363387068471676,0.0049685787697548375,0.12984672195342403,0.8916744574110073,0.7389454894651537,1.1336227353903807,historical IsFixed; old-boundary control only,0.0001074555007610705,0.0003535651695069452,False,0,0,0.7308922436616484,0
old-e100-p000,old-boundary full skin + 3D lambda control,old-boundary-secondary-historical-diagnostic,"full extracted boundary, historical 3D lambda in Koiter; historical IsFixed boundary",3,0.9390177180177586,4.986314664637708,0.9406631287265431,0.9405093434405728,3.0886269897504035,0.0002342534137016731,2.826722611175143e-05,0.7651678856143078,3.40874258349828,0.007429247598648666,0.21884719969291283,0.8431625830355328,0.6478391196674584,1.2188489888158562,historical IsFixed; old-boundary control only,0.00016203124061355142,0.0005230594334871962,False,0,0,0.3606799510297166,0
